RT,Area
1.168,2839403.68
1.413,6759945.28
1.835,1602658.74
2.565,8214790.32
5.855,5317366.34
7.853,91402.75
8.61,4859229.67
13.72,685444.64
14.03,2231921.2
14.694,125335.46
15.007,497529.62
15.144,195616.64
15.579,359500.22
15.971,2176201.75
16.57,14407.75
17.05,47864.74
17.8,463578.1
17.972,21174.32
18.156,362521.15
18.49,71476.16
18.695,1108376.23
19.072,172852.29
19.456,102305.17
19.639,35230.41
20.055,29015.26
20.26,41361.91
20.445,1206596.81
20.829,17357.09
21.091,167107.22
21.205,31995.92
21.718,259489.13
21.903,262727.61
22.17,109819.19
22.358,230103.94
22.489,925796.02
22.697,97460.38
22.836,47012.3
23.337,32230.15
